Gene.symbol	Gene.ID	adj.P.Val	logFC
MPO	4353	3.61781344674212e-19	-5.56350115651021
FLT3	2322	4.83571557426423e-19	-5.2500645271644
KIAA0101	9768	6.30816005381379e-19	-4.55913523978118
BUB1B	701	1.66404320184614e-18	-2.75655355297846
SUCNR1	56670	1.93857268145505e-18	-2.99681551599093
MCM10	55388	3.71213666952305e-18	-2.31884765424603
TPX2	22974	4.69552919298575e-18	-3.15641491614173
CIT	11113	1.14794610995475e-17	-2.37075070203742
CDC45	8318	1.65866463412733e-17	-2.28750067397506
IQGAP3	128239	1.77553965334516e-17	-1.66969735012925
POLQ	10721	1.77553965334516e-17	-2.09197758109184
CPXM1	56265	6.59236540681636e-17	-3.77695351746145
STK38	11329	7.22846118132053e-17	1.8804326870068
ANLN	54443	7.50468496299283e-17	-2.64104618221089
PRC1	9055	7.50468496299283e-17	-3.08009678542631
MELK	9833	1.35263969928412e-16	-2.29731792385714
TOP2A	7153	1.73194463781694e-16	-3.29810352836281
NCAPG	64151	2.37600560889478e-16	-3.22796342043764
CBX7	23492	4.52689592358887e-16	2.24007964966893
KIF23	9493	4.5934792416823e-16	-2.82172753519388
TYMS	7298	5.46160241575219e-16	-3.67035228143311
KIT	3815	7.79374037619318e-16	-4.86400851021202
ECRP///ECRP	643332///643332	7.88557587748154e-16	-4.55318219877211
DTL	51514	7.98952126104589e-16	-3.67921774278912
PLCL2	23228	7.98952126104589e-16	1.89971809574036
CDT1	81620	8.59049950225188e-16	-1.71491252610091
KIF14	9928	1.19628115231687e-15	-2.19593366886508
PECR	55825	1.65214459104172e-15	2.16251306721542
DIAPH3	81624	2.07208874427217e-15	-1.91092967643311
NRG4	145957	2.33222629471214e-15	-3.4068875179161
CDC25A	993	2.95877390100026e-15	-1.79713843244785
CENPI	2491	3.39242148650173e-15	-2.24023758153968
MRC1	4360	3.39242148650173e-15	-3.04859703215193
EXO1	9156	5.54188117708508e-15	-2.47469098344445
ORC1	4998	5.96215493515287e-15	-1.99692358986622
FANCI	55215	7.91344167439342e-15	-2.54306870017461
DEPDC1B	55789	8.08207008157363e-15	-2.0924736368254
SPC25	57405	9.15158150236517e-15	-2.19639068827098
		1.0894768428063e-14	1.37559173919161
ASPM	259266	1.12458910811219e-14	-2.50196107826077
GOLGA8R///GOLGA8O///GOLGA8N	101059918///728047///643699	1.57775346977866e-14	-2.66116588276757
PLTP	5360	1.78721474770283e-14	-2.09153848252834
